,month,year,permit,handgun,long_gun,multiple,total_ownership
189,2017-06-01,2017,13761.0,11431.0,4533.0,445,30170.0
190,2017-06-01,2017,1266.0,2215.0,2458.0,142,6081.0
191,2017-06-01,2017,16722.0,23369.0,11558.0,0,51649.0
192,2017-06-01,2017,23877.0,48895.0,29119.0,2307,104198.0
193,2017-06-01,2017,14721.0,3307.0,2989.0,0,21017.0
194,2017-06-01,2017,0.0,1296.0,973.0,41,2310.0
195,2017-06-01,2017,728.0,22416.0,12706.0,0,35850.0
196,2017-06-01,2017,12964.0,16674.0,9805.0,604,40047.0
197,2017-06-01,2017,1889.0,5409.0,4165.0,328,11791.0
198,2017-06-01,2017,11645.0,13463.0,9959.0,41,35108.0
199,2017-06-01,2017,350.0,1520.0,1544.0,85,3499.0
200,2017-05-01,2017,18538.0,7198.0,4559.0,309,30604.0
201,2017-05-01,2017,247.0,2851.0,2459.0,170,5727.0
202,2017-05-01,2017,6628.0,12002.0,6555.0,621,25806.0
203,2017-05-01,2017,4137.0,5181.0,3981.0,275,13574.0
204,2017-05-01,2017,58722.0,42442.0,24495.0,0,125659.0
205,2017-05-01,2017,5408.0,17085.0,11165.0,988,34646.0
206,2017-05-01,2017,8101.0,5951.0,1862.0,0,15914.0
207,2017-05-01,2017,863.0,1752.0,1087.0,72,3774.0
208,2017-05-01,2017,19014.0,49700.0,18476.0,1907,89097.0
209,2017-05-01,2017,14860.0,12163.0,6211.0,442,33676.0
210,2017-05-01,2017,1114.0,0.0,0.0,0,1114.0
211,2017-05-01,2017,4933.0,3267.0,3699.0,181,12080.0
212,2017-05-01,2017,14857.0,22244.0,9252.0,774,47127.0
213,2017-05-01,2017,24235.0,18110.0,9483.0,618,52446.0
214,2017-05-01,2017,6872.0,196.0,1759.0,3,8830.0
215,2017-05-01,2017,1933.0,5022.0,3818.0,295,11068.0
216,2017-05-01,2017,374078.0,8690.0,5378.0,433,388579.0
217,2017-05-01,2017,1574.0,10362.0,6302.0,544,18782.0
218,2017-05-01,2017,751.0,3236.0,2540.0,184,6711.0
219,2017-05-01,2017,2378.0,4539.0,4244.0,30,11191.0
220,2017-05-01,2017,8372.0,5100.0,2526.0,164,16162.0
221,2017-05-01,2017,20040.0,10483.0,7055.0,191,37769.0
222,2017-05-01,2017,38515.0,7916.0,7597.0,327,54355.0
223,2017-05-01,2017,1743.0,7002.0,3938.0,326,13009.0
224,2017-05-01,2017,685.0,18290.0,11468.0,857,31300.0
225,2017-05-01,2017,1460.0,2660.0,3762.0,199,8081.0
226,2017-05-01,2017,3517.0,109.0,1256.0,5,4887.0
227,2017-05-01,2017,2017.0,4630.0,2288.0,234,9169.0
228,2017-05-01,2017,1503.0,4614.0,2472.0,5,8594.0
229,2017-05-01,2017,0.0,5569.0,2931.0,0,8500.0
230,2017-05-01,2017,1183.0,5204.0,3381.0,263,10031.0
231,2017-05-01,2017,3224.0,11633.0,12857.0,183,27897.0
232,2017-05-01,2017,24726.0,1363.0,9129.0,206,35424.0
233,2017-05-01,2017,1017.0,1413.0,1866.0,57,4353.0
234,2017-05-01,2017,13712.0,25230.0,12924.0,1059,52925.0
235,2017-05-01,2017,0.0,10599.0,7270.0,728,18597.0
236,2017-05-01,2017,3978.0,13261.0,9115.0,3,26357.0
237,2017-05-01,2017,24962.0,42646.0,11123.0,0,78731.0
238,2017-05-01,2017,0.0,1048.0,541.0,182,1771.0
239,2017-05-01,2017,14550.0,9258.0,4234.0,617,28659.0
240,2017-05-01,2017,1331.0,2369.0,2578.0,145,6423.0
241,2017-05-01,2017,23584.0,22198.0,10745.0,0,56527.0
242,2017-05-01,2017,24168.0,42366.0,27991.0,2226,96751.0
243,2017-05-01,2017,16351.0,3204.0,3144.0,0,22699.0
244,2017-05-01,2017,0.0,1306.0,1132.0,49,2487.0
245,2017-05-01,2017,1148.0,21697.0,12181.0,0,35026.0
246,2017-05-01,2017,14176.0,15915.0,9682.0,584,40357.0
247,2017-05-01,2017,2141.0,5818.0,4329.0,321,12609.0
248,2017-05-01,2017,13117.0,14070.0,9467.0,58,36712.0
249,2017-05-01,2017,435.0,1589.0,1578.0,91,3693.0
250,2017-04-01,2017,17958.0,7131.0,4724.0,261,30074.0
251,2017-04-01,2017,289.0,2997.0,2840.0,233,6359.0
252,2017-04-01,2017,7385.0,13302.0,7485.0,658,28830.0
253,2017-04-01,2017,3158.0,5670.0,4226.0,287,13341.0
254,2017-04-01,2017,58147.0,45182.0,24898.0,0,128227.0
255,2017-04-01,2017,5576.0,19453.0,12407.0,1068,38504.0
256,2017-04-01,2017,7557.0,6557.0,2063.0,0,16177.0
257,2017-04-01,2017,689.0,2017.0,1249.0,89,4044.0
258,2017-04-01,2017,22072.0,52889.0,19489.0,1840,96290.0
259,2017-04-01,2017,14464.0,13202.0,6567.0,421,34654.0
260,2017-04-01,2017,885.0,0.0,0.0,0,885.0
261,2017-04-01,2017,6062.0,3874.0,4039.0,160,14135.0
262,2017-04-01,2017,15405.0,25414.0,10416.0,845,52080.0
263,2017-04-01,2017,27978.0,21454.0,11390.0,677,61499.0
264,2017-04-01,2017,9542.0,252.0,2348.0,3,12145.0
265,2017-04-01,2017,3189.0,5901.0,4435.0,308,13833.0
266,2017-04-01,2017,372852.0,9858.0,6519.0,433,389662.0
267,2017-04-01,2017,2387.0,10551.0,6161.0,492,19591.0
268,2017-04-01,2017,557.0,3816.0,3073.0,183,7629.0
269,2017-04-01,2017,3126.0,4435.0,5128.0,24,12713.0
270,2017-04-01,2017,7867.0,6540.0,2717.0,194,17318.0
271,2017-04-01,2017,19168.0,12478.0,9139.0,246,41031.0
272,2017-04-01,2017,44204.0,13074.0,12144.0,540,69962.0
273,2017-04-01,2017,1758.0,7952.0,4359.0,294,14363.0
274,2017-04-01,2017,815.0,20328.0,14124.0,998,36265.0
275,2017-04-01,2017,1494.0,3014.0,4246.0,219,8973.0
276,2017-04-01,2017,3869.0,126.0,1648.0,4,5647.0
277,2017-04-01,2017,2016.0,4890.0,2747.0,287,9940.0
278,2017-04-01,2017,1706.0,5658.0,3121.0,9,10494.0
279,2017-04-01,2017,0.0,5722.0,3201.0,0,8923.0
280,2017-04-01,2017,1350.0,5665.0,4023.0,267,11305.0
281,2017-04-01,2017,2879.0,11913.0,14591.0,204,29587.0
282,2017-04-01,2017,24568.0,1471.0,9870.0,185,36094.0
283,2017-04-01,2017,1434.0,2209.0,2492.0,99,6234.0
284,2017-04-01,2017,14485.0,31417.0,16030.0,1209,63141.0
285,2017-04-01,2017,0.0,13317.0,9111.0,862,23290.0
286,2017-04-01,2017,1830.0,15122.0,10896.0,2,27850.0
287,2017-04-01,2017,24949.0,48255.0,11877.0,0,85081.0
288,2017-04-01,2017,0.0,1146.0,673.0,200,2019.0
289,2017-04-01,2017,12113.0,9548.0,4420.0,1159,27240.0
290,2017-04-01,2017,1191.0,2896.0,3008.0,148,7243.0
291,2017-04-01,2017,22073.0,23031.0,11521.0,0,56625.0
292,2017-04-01,2017,21593.0,44994.0,28015.0,2442,97044.0
293,2017-04-01,2017,14872.0,3917.0,3302.0,0,22091.0
294,2017-04-01,2017,0.0,1855.0,1720.0,105,3680.0
295,2017-04-01,2017,1074.0,29480.0,16844.0,0,47398.0
296,2017-04-01,2017,13564.0,17120.0,10659.0,630,41973.0
297,2017-04-01,2017,2267.0,6723.0,5263.0,365,14618.0
298,2017-04-01,2017,14511.0,16700.0,13302.0,46,44559.0
299,2017-04-01,2017,382.0,1633.0,1711.0,85,3811.0
300,2017-03-01,2017,27666.0,10603.0,6951.0,387,45607.0
301,2017-03-01,2017,362.0,3067.0,2640.0,184,6253.0
302,2017-03-01,2017,9556.0,14897.0,9036.0,738,34227.0
303,2017-03-01,2017,4775.0,7907.0,6010.0,454,19146.0
304,2017-03-01,2017,65892.0,48732.0,27839.0,0,142463.0
305,2017-03-01,2017,7030.0,21249.0,14378.0,1181,43838.0
